C1,C10,C11,C12,C14,C15,C17,C18,C2,C3,C4,C5,C6,C7,C8,C9
0.024864132,0.0047546388,0.0055185086,0.013687687,0.009323405,0.01131003,0.009670439,0.0015412503,0.0038978613,0.0055611543,0.83247334,0.0051857512,0.042127527,0.004704479,0.0031962108,0.022183562
0.009250589,0.0147280535,0.01207732,0.021166189,0.8467537,0.012484683,0.006393702,0.0015526172,0.0022485964,0.0043733125,0.015064018,0.009177825,0.025586933,0.0015508888,0.0073359786,0.010255648
0.00049364445,0.00040785188,0.0111159915,9.2709175e-05,0.000286013,0.00062723283,0.0019165431,0.0017828831,0.011545642,0.6342145,0.002327047,0.00040234847,0.0003482712,0.33162287,0.0007559674,0.0020604183
0.9494953,0.0015769774,0.00021532863,0.00088637037,0.003150286,0.0021031026,0.008755323,0.0012750246,0.00022010288,0.00064225204,0.0042428817,0.003873255,0.020227807,0.00033486137,0.0016529481,0.0013481824
0.00058715197,0.0005229708,0.010075226,0.00013121807,0.000359811,0.0007155584,0.001907065,0.0025173859,0.019146854,0.83588994,0.002554845,0.00046447606,0.00040033864,0.121094905,0.0012056374,0.0024266224
0.0052951328,0.008167195,0.010031822,0.015593388,0.893132,0.0100892885,0.003963657,0.001023951,0.0020100807,0.003410022,0.009860608,0.006904363,0.015921494,0.0013542837,0.006217199,0.007025576
0.046907898,0.01945644,0.0059288586,0.011121594,0.015924705,0.04595355,0.024726046,0.0019263318,0.0015447446,0.0033061171,0.06814123,0.03255868,0.7137519,0.0022174267,0.0028373061,0.003697162
0.026479587,0.004613724,0.0013979635,0.0018027243,0.0051351795,0.008927026,0.0129252095,0.0011638169,0.0004455203,0.0012712948,0.020617161,0.89980555,0.012640121,0.0006360421,0.0012931848,0.0008459532
0.0013982499,0.0010962635,0.0006122461,0.9763998,0.0038784218,0.0037058152,0.0007407507,0.00038694552,0.0013450871,9.561037e-05,0.0037720702,0.00037067092,0.001218102,0.000101892954,0.0009149358,0.003963157
0.023199154,0.016116418,0.033095054,0.029637711,0.02984193,0.4630842,0.17992964,0.0077312337,0.009149684,0.015020836,0.008819219,0.041380666,0.038060144,0.009393417,0.088802546,0.006738208
0.00040189427,0.0049767722,0.95955795,0.000979042,0.004189422,0.004318865,0.0029805142,0.0011497384,0.001611339,0.005256018,0.00860872,0.0013836027,0.00087510876,0.0015326249,0.00045720505,0.001721195
0.00051381916,0.00042019665,0.0055444273,0.00018434152,0.00030313784,0.00075682875,0.0022419477,0.00074455043,0.026797375,0.033133578,0.0016124476,0.00036629586,0.0005943454,0.9244777,0.0006325836,0.001676525
0.0008237415,0.00866115,0.9339802,0.0019171203,0.007247404,0.0074649295,0.005179521,0.002143967,0.0028418743,0.007257911,0.011847565,0.0027450705,0.001760624,0.0025669273,0.0009337558,0.0026281374
0.99127954,0.0002382182,2.4056686e-05,0.00014119981,0.00051629264,0.00031552676,0.0020678123,0.0002604304,2.9636036e-05,7.266284e-05,0.0009246484,0.0008389245,0.0026582754,5.5011136e-05,0.00030841932,0.00026933104
0.0014291902,0.0015731726,0.04135141,0.000560583,0.0011469561,0.002281894,0.0040611406,0.006197333,0.109972484,0.7682519,0.0057692593,0.00086355634,0.0010613594,0.04516865,0.005251506,0.0050596013
0.110929,0.03670526,0.058575068,0.027760057,0.042202327,0.0704887,0.08654918,0.012753791,0.011112302,0.031259865,0.24543543,0.057393305,0.1486175,0.01801097,0.012112879,0.03009437
0.04140221,0.016796535,0.013366963,0.024604345,0.01916819,0.057260837,0.03130404,0.0020555635,0.0032952856,0.0066519068,0.52274996,0.010844296,0.22400048,0.007146112,0.0032825733,0.016070688
0.0041756043,0.005022423,0.12818503,0.0063360627,0.0063071153,0.0029724336,0.0030748378,0.0008866168,0.0035975678,0.005610379,0.67266244,0.0007098453,0.002207608,0.004884717,0.0004037029,0.15296358
0.01567867,0.0021879806,0.0005668239,0.0006627128,0.0024386535,0.004607745,0.007233507,0.00048633083,0.0001484503,0.000480912,0.008428983,0.949132,0.006924565,0.00022699544,0.0005210877,0.00027452467
0.00018089735,0.00013831364,0.0032882837,5.623544e-05,8.792287e-05,0.00023430583,0.0008596501,0.00030550823,0.017607087,0.027013073,0.0007936351,0.00010211552,0.00017789826,0.94815403,0.00021727233,0.00078373315
0.025561724,0.007971939,0.0057539963,0.013462678,0.009979071,0.027645376,0.015940465,0.00067155465,0.001284453,0.0026069349,0.6676682,0.004802532,0.2031204,0.0029773493,0.0010689207,0.00948439
3.221978e-05,7.313531e-05,0.00048020243,7.126829e-05,1.4245503e-05,2.9025676e-05,7.959094e-05,0.00024147602,0.99233127,0.0038724733,0.00020993472,1.246454e-05,3.1800617e-05,0.0019987696,0.00027133364,0.00025080767
0.0037667619,0.0012260525,0.0019237241,0.0019823597,0.0017828603,0.0017070587,0.0012863823,0.00014781908,0.00043498975,0.0009630245,0.97330654,0.0005632437,0.0053764977,0.0006157391,0.0001479037,0.004768882
0.011886381,0.010028732,0.014177288,0.004085743,0.008283064,0.006577741,0.009208598,0.017861107,0.054590333,0.7745459,0.024543405,0.0040622624,0.023141168,0.014695628,0.012406203,0.009906423
0.00596984,0.00053615007,0.000491589,0.004709905,0.0019928722,0.0005508435,0.00055600516,0.0001960527,0.00060365966,0.00044920458,0.009010987,0.00010718804,0.00038388127,0.000324282,0.0003337764,0.9737837
0.0033190895,0.005466573,0.00430885,0.009598079,0.94328076,0.005024101,0.0020487804,0.0003731468,0.00061527523,0.0012558072,0.0051252376,0.0034454335,0.008757397,0.00038915485,0.002757209,0.0042351233
0.00021651952,0.00014901534,0.004117438,4.4181368e-05,0.000101235324,0.00027375174,0.0008898452,0.0009148536,0.019225294,0.68920726,0.0011609421,0.00012050126,0.00014670436,0.28173366,0.0004999995,0.0011987458
